State,Zip,Zip3,Weeks Since First Purchase,Weeks Since Last Purchase,Book Purchase ($),Nonbook Purchase($),Total Purchase ($),No. of Purchases,No. of Childbook Purchases,No. of Youthbook Purchases,No. of Cookbook Purchases,No. of Do It Purchases,No. of Referncebook Purchases,No. of Artbook Purchases,No. of Geographybook Purchases,Response,
NJ,7305,73,17,15,29,16,45,2,0,0,0,1,0,0,1,No,Chosen
NY,10466,104,19,15,25,20,45,2,0,0,2,0,0,0,0,No,Chosen
NJ,8527,85,21,15,27,17,44,2,0,0,1,0,1,0,0,No,Chosen
NY,11771,117,19,15,25,19,44,2,1,0,1,0,0,0,0,Yes,Chosen
NJ,7753,77,21,15,29,14,43,2,1,0,0,0,0,0,1,No,Chosen
NY,11787,117,23,15,28,15,43,2,1,0,0,0,0,1,0,No,Chosen
MA,1880,18,21,15,28,15,43,2,1,0,0,0,0,1,0,No,Chosen
NY,11726,117,21,15,29,14,43,2,1,0,0,0,0,0,1,No,Chosen
NY,11704,117,21,15,27,15,42,2,1,0,0,0,1,0,0,No,Chosen
NY,10280,102,23,15,29,12,41,2,0,0,0,1,0,0,1,No,Chosen
CT,6109,61,21,15,27,14,41,2,0,1,0,0,1,0,0,No,Chosen
NY,13408,134,19,15,28,13,41,2,1,0,0,0,0,1,0,No,Chosen
CT,6430,64,23,15,28,13,41,2,0,0,0,0,1,1,0,No,Chosen
PA,19015,190,21,15,29,12,41,2,0,0,1,0,0,0,1,No,Chosen
NJ,8070,80,21,15,29,12,41,2,0,0,1,0,0,0,1,No,Chosen
PA,19026,190,17,15,29,12,41,2,0,0,1,0,0,0,1,No,Chosen
NY,12020,120,19,15,24,16,40,2,1,1,0,0,0,0,0,No,Chosen
NY,11210,112,21,15,26,14,40,2,0,0,1,1,0,0,0,No,Chosen
NY,10552,105,19,15,27,13,40,2,0,1,0,0,1,0,0,No,Chosen
NY,13219,132,21,15,26,13,39,2,1,0,0,1,0,0,0,No,Chosen
NY,12198,121,19,15,29,10,39,2,0,0,1,0,0,0,1,No,Chosen
PA,16112,161,19,15,29,10,39,2,0,0,1,0,0,0,1,Yes,Chosen
NY,10021,100,23,15,27,11,38,2,1,0,0,0,1,0,0,No,Chosen
MA,1945,19,17,15,29,9,38,2,0,0,1,0,0,0,1,No,Chosen
MA,1013,10,19,15,24,14,38,2,1,1,0,0,0,0,0,No,Chosen
NY,10543,105,23,15,26,12,38,2,1,0,0,1,0,0,0,No,Chosen
NY,11004,110,21,15,26,11,37,2,0,0,0,2,0,0,0,No,Chosen
MD,21204,212,19,15,27,10,37,2,1,0,0,0,1,0,0,No,Chosen
MD,20784,207,21,15,25,12,37,2,0,1,1,0,0,0,0,No,Chosen
NJ,7646,76,21,15,26,11,37,2,0,0,1,1,0,0,0,No,Chosen
NY,10960,109,21,15,29,8,37,2,0,0,0,0,0,0,2,No,Chosen
NJ,7045,70,19,15,28,8,36,2,0,0,0,1,0,1,0,No,Chosen
MD,21122,211,19,15,26,10,36,2,0,1,0,1,0,0,0,No,Chosen
MD,21224,212,23,15,28,8,36,2,1,0,0,0,0,1,0,No,Chosen
NJ,7755,77,23,15,24,12,36,2,1,1,0,0,0,0,0,No,Chosen
NY,11010,110,19,15,26,9,35,2,0,0,1,1,0,0,0,No,Chosen
NY,10021,100,21,15,24,11,35,2,1,1,0,0,0,0,0,No,Chosen
PA,19144,191,23,15,29,6,35,2,0,0,0,0,0,1,1,No,Chosen
MD,21044,210,23,15,28,7,35,2,1,0,0,0,0,1,0,No,Chosen
NJ,7960,79,23,15,28,7,35,2,0,0,0,1,0,1,0,No,Chosen
PA,19139,191,17,15,25,9,34,2,0,1,1,0,0,0,0,No,Chosen
MA,1201,12,17,15,25,9,34,2,1,0,1,0,0,0,0,No,Chosen
NY,11234,112,17,15,27,7,34,2,0,0,1,0,1,0,0,No,Chosen
PA,18634,186,17,15,29,4,33,2,0,0,0,0,0,1,1,No,Chosen
CT,6062,60,21,15,26,7,33,2,0,0,1,1,0,0,0,No,Chosen
NH,3824,38,23,15,28,5,33,2,1,0,0,0,0,1,0,No,Chosen
NY,11757,117,19,15,29,3,32,2,0,0,0,0,0,1,1,No,Chosen
MA,2061,20,19,15,28,4,32,2,0,0,0,1,0,1,0,No,Chosen
DE,19711,197,23,15,27,5,32,2,0,0,1,0,1,0,0,No,Chosen
NY,14215,142,17,15,27,4,31,2,0,0,0,0,2,0,0,No,Chosen
NY,11550,115,21,15,27,4,31,2,0,0,1,0,1,0,0,No,Chosen
NJ,8046,80,19,15,28,3,31,2,0,0,1,0,0,1,0,No,Chosen
NY,11421,114,23,15,27,3,30,2,0,1,0,0,1,0,0,No,Chosen
PA,17111,171,21,15,25,5,30,2,0,0,2,0,0,0,0,No,Chosen
PA,19444,194,15,15,15,299,314,1,0,0,0,0,0,1,0,No,Chosen
MD,21032,210,15,15,15,299,314,1,0,0,0,0,0,0,1,No,Chosen
MD,21219,212,15,15,15,298,313,1,1,0,0,0,0,0,0,No,Chosen
PA,19029,190,15,15,15,298,313,1,0,0,0,0,1,0,0,No,Chosen
NY,11746,117,15,15,15,298,313,1,0,0,1,0,0,0,0,No,Chosen
NY,11704,117,15,15,15,297,312,1,1,0,0,0,0,0,0,No,Chosen
NH,3051,30,15,15,15,297,312,1,0,0,0,1,0,0,0,No,Chosen
PA,19149,191,15,15,15,295,310,1,0,0,0,0,0,0,1,No,Chosen
CT,6401,64,15,15,15,295,310,1,0,0,1,0,0,0,0,No,Chosen
RI,2905,29,15,15,15,295,310,1,0,0,0,1,0,0,0,No,Chosen
CT,6784,67,15,15,15,295,310,1,0,0,0,1,0,0,0,No,Chosen
MD,20601,206,15,15,15,295,310,1,0,1,0,0,0,0,0,No,Chosen
NY,11428,114,15,15,15,295,310,1,0,0,1,0,0,0,0,No,Chosen
NJ,8525,85,15,15,15,295,310,1,0,1,0,0,0,0,0,No,Chosen
NJ,8077,80,15,15,15,295,310,1,1,0,0,0,0,0,0,No,Chosen
NY,10025,100,15,15,15,295,310,1,0,0,1,0,0,0,0,No,Chosen
NY,11214,112,15,15,15,295,310,1,0,0,0,0,0,0,1,No,Chosen
NY,11795,117,15,15,15,295,310,1,0,0,0,1,0,0,0,No,Chosen
PA,19054,190,15,15,15,293,308,1,0,0,0,0,0,1,0,No,Chosen
NY,11746,117,15,15,15,293,308,1,0,0,1,0,0,0,0,No,Chosen
NY,11776,117,15,15,15,293,308,1,0,0,0,0,1,0,0,No,Chosen
NJ,8226,82,15,15,15,293,308,1,0,0,0,0,1,0,0,No,Chosen
MA,1754,17,15,15,15,292,307,1,0,0,1,0,0,0,0,No,Chosen
NY,13676,136,15,15,15,292,307,1,1,0,0,0,0,0,0,No,Chosen
NY,11363,113,15,15,15,292,307,1,0,0,0,0,1,0,0,No,Chosen
NY,14625,146,15,15,15,292,307,1,0,0,1,0,0,0,0,No,Chosen
PA,19078,190,15,15,15,291,306,1,0,0,0,0,1,0,0,No,Chosen
MA,2171,21,15,15,15,291,306,1,0,0,0,0,0,0,1,No,Chosen
PA,17745,177,15,15,15,291,306,1,0,0,1,0,0,0,0,No,Chosen
NJ,7016,70,15,15,15,290,305,1,0,1,0,0,0,0,0,No,Chosen
NY,13045,130,15,15,15,290,305,1,0,0,0,0,0,0,1,No,Chosen
CT,6460,64,15,15,15,289,304,1,0,0,0,0,1,0,0,No,Chosen
CT,6708,67,15,15,15,289,304,1,0,0,1,0,0,0,0,No,Chosen
NJ,8054,80,15,15,15,289,304,1,0,0,0,0,1,0,0,No,Chosen
MD,21030,210,15,15,15,289,304,1,0,0,0,1,0,0,0,No,Chosen
NJ,8817,88,15,15,15,288,303,1,0,0,0,1,0,0,0,No,Chosen
NY,11221,112,15,15,15,288,303,1,0,0,1,0,0,0,0,No,Chosen
NJ,8009,80,15,15,15,288,303,1,0,0,0,0,1,0,0,No,Chosen
MD,21228,212,15,15,15,288,303,1,0,0,1,0,0,0,0,No,Chosen
MA,2139,21,15,15,15,288,303,1,0,0,0,0,0,1,0,No,Chosen
NJ,7092,70,15,15,15,288,303,1,0,0,0,0,1,0,0,No,Chosen
PA,19118,191,15,15,15,287,302,1,1,0,0,0,0,0,0,No,Chosen
NJ,7621,76,15,15,15,287,302,1,0,0,0,0,0,0,1,No,Chosen
MD,20816,208,15,15,15,287,302,1,0,0,1,0,0,0,0,No,Chosen
NY,11580,115,15,15,15,287,302,1,0,0,0,0,0,1,0,No,Chosen
VT,5855,58,15,15,15,287,302,1,0,0,1,0,0,0,0,No,Chosen
CT,6082,60,15,15,15,286,301,1,0,0,0,0,1,0,0,No,Chosen
PA,19115,191,15,15,15,286,301,1,1,0,0,0,0,0,0,No,Chosen
NJ,8094,80,15,15,15,285,300,1,0,1,0,0,0,0,0,No,Chosen
PA,15202,152,15,15,15,285,300,1,0,0,0,0,0,0,1,Yes,Chosen
NJ,7004,70,15,15,15,285,300,1,0,0,0,0,0,1,0,No,Chosen
NY,11510,115,15,15,15,284,299,1,0,1,0,0,0,0,0,No,Chosen
NJ,7106,71,15,15,15,284,299,1,0,0,0,1,0,0,0,No,Chosen
NY,11501,115,15,15,15,284,299,1,0,0,0,0,1,0,0,No,Chosen
MD,21222,212,15,15,15,284,299,1,1,0,0,0,0,0,0,No,Chosen
NY,11581,115,15,15,15,283,298,1,0,0,1,0,0,0,0,No,Chosen
NY,10017,100,15,15,15,283,298,1,1,0,0,0,0,0,0,No,Chosen
NY,10705,107,15,15,15,283,298,1,0,0,0,1,0,0,0,No,Chosen
NJ,7646,76,15,15,15,283,298,1,0,0,1,0,0,0,0,No,Chosen
NY,11209,112,15,15,15,282,297,1,0,1,0,0,0,0,0,No,Chosen
DE,19901,199,15,15,15,282,297,1,0,0,0,0,0,0,1,No,Chosen
NH,3106,31,15,15,15,282,297,1,0,0,0,0,0,0,1,Yes,Chosen
NJ,7640,76,15,15,15,282,297,1,0,0,0,0,0,1,0,No,Chosen
MA,2341,23,15,15,15,282,297,1,0,0,1,0,0,0,0,No,Chosen
NJ,8037,80,15,15,15,282,297,1,0,1,0,0,0,0,0,No,Chosen
PA,18062,180,15,15,15,282,297,1,0,0,0,0,0,0,1,No,Chosen
CT,6071,60,15,15,15,281,296,1,0,0,1,0,0,0,0,No,Chosen
MD,20715,207,15,15,15,281,296,1,1,0,0,0,0,0,0,No,Chosen
NY,11572,115,15,15,15,281,296,1,1,0,0,0,0,0,0,No,Chosen
NJ,8850,88,15,15,15,281,296,1,0,0,0,0,1,0,0,No,Chosen
NY,11363,113,15,15,15,280,295,1,0,0,1,0,0,0,0,No,Chosen
MA,1890,18,15,15,15,280,295,1,0,0,0,0,0,0,1,No,Chosen
NY,13030,130,15,15,15,280,295,1,0,1,0,0,0,0,0,No,Chosen
MA,2176,21,15,15,15,280,295,1,0,0,0,0,0,1,0,No,Chosen
MD,20878,208,15,15,15,280,295,1,1,0,0,0,0,0,0,No,Chosen
NJ,8318,83,15,15,15,279,294,1,0,0,0,1,0,0,0,No,Chosen
PA,16508,165,15,15,15,279,294,1,0,1,0,0,0,0,0,No,Chosen
MA,2173,21,15,15,15,279,294,1,0,0,0,0,0,1,0,No,Chosen
NY,10011,100,15,15,15,278,293,1,0,0,0,0,0,1,0,No,Chosen
CT,6484,64,15,15,15,278,293,1,0,0,0,0,0,0,1,No,Chosen
NY,10954,109,15,15,15,278,293,1,0,0,0,0,0,0,1,No,Chosen
PA,19096,190,15,15,15,278,293,1,1,0,0,0,0,0,0,Yes,Chosen
NY,10466,104,15,15,15,277,292,1,0,0,1,0,0,0,0,No,Chosen
NY,11050,110,15,15,15,277,292,1,0,0,1,0,0,0,0,No,Chosen
NY,11001,110,15,15,15,276,291,1,0,0,1,0,0,0,0,No,Chosen
NJ,8088,80,15,15,15,275,290,1,0,0,0,0,1,0,0,No,Chosen
PA,15670,156,15,15,15,275,290,1,1,0,0,0,0,0,0,No,Chosen
NJ,7024,70,15,15,15,275,290,1,0,0,1,0,0,0,0,No,Chosen
NY,11758,117,15,15,15,274,289,1,0,0,0,0,1,0,0,No,Chosen
MD,21078,210,15,15,15,274,289,1,0,0,0,0,0,0,1,No,Chosen
NJ,8722,87,15,15,15,274,289,1,0,0,0,0,0,0,1,No,Chosen
NJ,8081,80,15,15,15,273,288,1,0,0,0,0,0,0,1,No,Chosen
MA,2072,20,15,15,15,273,288,1,0,0,0,0,0,1,0,Yes,Chosen
MA,2338,23,15,15,15,272,287,1,0,1,0,0,0,0,0,No,Chosen
CT,6460,64,15,15,15,272,287,1,0,0,0,0,0,0,1,No,Chosen
NY,14051,140,15,15,15,272,287,1,0,0,0,0,0,1,0,No,Chosen
NY,14057,140,15,15,15,272,287,1,0,0,0,0,0,1,0,No,Chosen
DE,19810,198,15,15,15,271,286,1,0,0,0,0,0,0,1,No,Chosen
MD,21218,212,15,15,15,271,286,1,0,0,0,0,0,1,0,No,Chosen
NY,10516,105,15,15,15,271,286,1,1,0,0,0,0,0,0,No,Chosen
NY,11758,117,15,15,15,270,285,1,0,0,0,0,0,1,0,No,Chosen
NY,14072,140,15,15,15,270,285,1,0,0,0,0,1,0,0,No,Chosen
NY,11434,114,15,15,15,269,284,1,1,0,0,0,0,0,0,No,Chosen
NJ,8854,88,15,15,15,269,284,1,1,0,0,0,0,0,0,No,Chosen
MD,20814,208,15,15,15,269,284,1,0,0,1,0,0,0,0,No,Chosen
PA,19002,190,15,15,15,269,284,1,1,0,0,0,0,0,0,No,Chosen
NJ,7656,76,15,15,15,268,283,1,0,0,1,0,0,0,0,No,Chosen
MA,1095,10,15,15,15,267,282,1,0,0,0,1,0,0,0,Yes,Chosen
NY,11596,115,15,15,15,267,282,1,0,0,1,0,0,0,0,No,Chosen
NY,14068,140,15,15,15,267,282,1,0,0,0,1,0,0,0,No,Chosen
NY,13036,130,15,15,15,267,282,1,0,0,1,0,0,0,0,No,Chosen
PA,19130,191,15,15,15,267,282,1,0,0,0,1,0,0,0,No,Chosen
RI,2889,28,15,15,15,266,281,1,0,1,0,0,0,0,0,No,Chosen
MA,1907,19,15,15,15,266,281,1,0,0,1,0,0,0,0,No,Chosen
NH,3263,32,15,15,15,266,281,1,0,0,1,0,0,0,0,No,Chosen
NJ,7762,77,15,15,15,266,281,1,0,0,0,0,0,1,0,No,Chosen
NY,11214,112,15,15,15,266,281,1,0,0,1,0,0,0,0,No,Chosen
NY,11235,112,15,15,15,265,280,1,0,0,0,1,0,0,0,No,Chosen
MD,21215,212,15,15,15,265,280,1,0,0,0,0,1,0,0,No,Chosen
PA,19081,190,15,15,15,265,280,1,0,0,1,0,0,0,0,No,Chosen
NJ,8022,80,15,15,15,264,279,1,0,1,0,0,0,0,0,No,Chosen
MA,2150,21,15,15,15,264,279,1,0,0,1,0,0,0,0,No,Chosen
CT,6611,66,15,15,15,264,279,1,0,0,1,0,0,0,0,No,Chosen
PA,18966,189,15,15,15,264,279,1,0,0,1,0,0,0,0,No,Chosen
MA,2139,21,15,15,15,263,278,1,0,0,1,0,0,0,0,No,Chosen
MD,21014,210,15,15,15,263,278,1,0,0,1,0,0,0,0,No,Chosen
NY,11209,112,15,15,15,263,278,1,1,0,0,0,0,0,0,No,Chosen
NY,11412,114,15,15,15,263,278,1,0,0,0,0,1,0,0,No,Chosen
PA,19446,194,15,15,15,262,277,1,1,0,0,0,0,0,0,No,Chosen
NJ,8559,85,15,15,15,262,277,1,0,1,0,0,0,0,0,No,Chosen
NJ,8096,80,15,15,15,262,277,1,0,0,1,0,0,0,0,No,Chosen
NJ,7866,78,15,15,15,262,277,1,0,0,0,0,0,1,0,No,Chosen
NJ,8260,82,15,15,15,261,276,1,0,0,0,0,0,1,0,No,Chosen
NY,11354,113,15,15,15,261,276,1,0,1,0,0,0,0,0,No,Chosen
CT,6371,63,15,15,15,261,276,1,0,0,0,0,0,1,0,No,Chosen
NJ,7050,70,15,15,15,261,276,1,0,0,1,0,0,0,0,No,Chosen
MD,20815,208,15,15,15,260,275,1,0,0,0,0,0,0,1,No,Chosen
PA,19026,190,15,15,15,259,274,1,0,1,0,0,0,0,0,No,Chosen
NY,10583,105,15,15,15,259,274,1,0,0,0,0,0,0,1,No,Chosen
CT,6903,69,15,15,15,259,274,1,0,1,0,0,0,0,0,No,Chosen
NY,11385,113,15,15,15,258,273,1,1,0,0,0,0,0,0,No,Chosen
PA,19072,190,15,15,15,257,272,1,0,0,0,0,0,1,0,Yes,Chosen
MD,21206,212,15,15,15,257,272,1,0,0,0,0,0,0,1,No,Chosen
NJ,7631,76,15,15,15,257,272,1,0,0,0,1,0,0,0,No,Chosen
MD,21030,210,15,15,15,257,272,1,0,0,0,1,0,0,0,No,Chosen
DE,19713,197,15,15,15,257,272,1,0,0,0,1,0,0,0,No,Chosen
NY,10014,100,15,15,15,256,271,1,0,0,1,0,0,0,0,No,Chosen
NY,11510,115,15,15,15,256,271,1,0,0,0,0,0,1,0,Yes,Chosen
NJ,7508,75,15,15,15,256,271,1,0,0,0,1,0,0,0,No,Chosen
NJ,7076,70,15,15,15,255,270,1,0,1,0,0,0,0,0,No,Chosen
NJ,7055,70,15,15,15,254,269,1,0,0,0,0,0,0,1,No,Chosen
NY,11768,117,15,15,15,254,269,1,1,0,0,0,0,0,0,No,Chosen
MA,1879,18,15,15,15,254,269,1,0,0,0,0,0,1,0,Yes,Chosen
NY,10463,104,15,15,15,254,269,1,1,0,0,0,0,0,0,No,Chosen
CT,6513,65,15,15,15,254,269,1,0,0,0,1,0,0,0,No,Chosen
MD,21117,211,15,15,15,254,269,1,0,0,0,0,0,1,0,No,Chosen
NY,10704,107,15,15,15,254,269,1,1,0,0,0,0,0,0,No,Chosen
CT,6902,69,15,15,15,254,269,1,0,0,1,0,0,0,0,No,Chosen
PA,17061,170,15,15,15,254,269,1,0,0,0,0,0,0,1,No,Chosen
CT,6357,63,15,15,15,253,268,1,0,0,0,1,0,0,0,No,Chosen
PA,19611,196,15,15,15,253,268,1,1,0,0,0,0,0,0,No,Chosen
NY,14905,149,15,15,15,252,267,1,1,0,0,0,0,0,0,No,Chosen
NJ,7928,79,15,15,15,252,267,1,0,1,0,0,0,0,0,No,Chosen
NY,12586,125,15,15,15,252,267,1,0,1,0,0,0,0,0,No,Chosen
PA,19464,194,15,15,15,252,267,1,0,0,0,0,0,1,0,Yes,Chosen
NY,10453,104,15,15,15,252,267,1,0,0,1,0,0,0,0,No,Chosen
MD,21014,210,15,15,15,251,266,1,0,0,0,0,0,0,1,No,Chosen
NJ,7060,70,15,15,15,251,266,1,0,0,0,0,0,1,0,No,Chosen
NH,3820,38,15,15,15,251,266,1,0,0,1,0,0,0,0,No,Chosen
NY,11234,112,15,15,15,251,266,1,1,0,0,0,0,0,0,No,Chosen
MD,21030,210,15,15,15,250,265,1,0,0,1,0,0,0,0,No,Chosen
MD,21093,210,15,15,15,250,265,1,0,0,0,0,0,0,1,No,Chosen
NY,12701,127,15,15,15,250,265,1,0,0,0,0,0,1,0,No,Chosen
NY,12302,123,15,15,15,250,265,1,0,1,0,0,0,0,0,No,Chosen
NY,10917,109,15,15,15,249,264,1,0,0,0,1,0,0,0,Yes,Chosen
PA,15116,151,15,15,15,249,264,1,0,0,0,0,0,0,1,No,Chosen
PA,19003,190,15,15,15,249,264,1,0,0,0,0,0,0,1,No,Chosen
MD,21206,212,15,15,15,248,263,1,0,0,1,0,0,0,0,No,Chosen
NJ,7470,74,15,15,15,248,263,1,0,0,0,0,0,1,0,No,Chosen
MA,1907,19,15,15,15,248,263,1,0,0,1,0,0,0,0,No,Chosen
NJ,7470,74,15,15,15,248,263,1,0,0,0,0,1,0,0,No,Chosen
NJ,7039,70,15,15,15,247,262,1,0,0,0,0,0,0,1,No,Chosen
PA,18414,184,15,15,15,247,262,1,0,1,0,0,0,0,0,No,Chosen
NJ,8232,82,15,15,15,247,262,1,0,0,1,0,0,0,0,Yes,Chosen
PA,17701,177,15,15,15,247,262,1,0,0,0,0,0,0,1,Yes,Chosen
NJ,7701,77,15,15,15,246,261,1,0,0,0,0,0,0,1,No,Chosen
PA,19142,191,15,15,15,246,261,1,0,0,0,0,1,0,0,No,Chosen
MD,21236,212,15,15,15,246,261,1,0,0,0,0,1,0,0,No,Chosen
NJ,8012,80,15,15,15,246,261,1,0,0,0,0,1,0,0,No,Chosen
PA,19124,191,15,15,15,246,261,1,0,0,1,0,0,0,0,No,Chosen
NJ,8757,87,15,15,15,246,261,1,1,0,0,0,0,0,0,No,Chosen
MA,2642,26,15,15,15,245,260,1,0,0,0,0,1,0,0,No,Chosen
NJ,8012,80,15,15,15,245,260,1,0,0,1,0,0,0,0,No,Chosen
NJ,8087,80,15,15,15,245,260,1,0,0,0,1,0,0,0,No,Chosen
NY,10312,103,15,15,15,244,259,1,0,0,0,0,0,1,0,Yes,Chosen
NY,10566,105,15,15,15,244,259,1,0,0,1,0,0,0,0,No,Chosen
NY,11710,117,15,15,15,244,259,1,0,0,1,0,0,0,0,No,Chosen
MD,20854,208,15,15,15,244,259,1,1,0,0,0,0,0,0,No,Chosen
NY,11721,117,15,15,15,244,259,1,0,0,1,0,0,0,0,No,Chosen
NY,14106,141,15,15,15,244,259,1,0,0,1,0,0,0,0,No,Chosen
MA,2165,21,15,15,15,243,258,1,0,0,0,1,0,0,0,No,Chosen
NY,12047,120,15,15,15,243,258,1,0,0,0,0,0,0,1,No,Chosen
PA,16063,160,15,15,15,243,258,1,0,0,0,1,0,0,0,No,Chosen
NY,13850,138,15,15,15,243,258,1,0,0,0,0,0,0,1,No,Chosen
VT,5482,54,15,15,15,243,258,1,1,0,0,0,0,0,0,No,Chosen
NJ,7666,76,15,15,15,243,258,1,1,0,0,0,0,0,0,No,Chosen
PA,19063,190,15,15,15,243,258,1,0,0,0,0,1,0,0,No,Chosen
MA,2173,21,15,15,15,242,257,1,0,0,0,0,0,1,0,No,Chosen
NH,3603,36,15,15,15,242,257,1,0,0,1,0,0,0,0,No,Chosen
NY,11421,114,15,15,15,241,256,1,0,0,1,0,0,0,0,No,Chosen
PA,19055,190,15,15,15,241,256,1,0,0,1,0,0,0,0,No,Chosen
PA,18917,189,15,15,15,241,256,1,0,1,0,0,0,0,0,No,Chosen
PA,18102,181,15,15,15,241,256,1,1,0,0,0,0,0,0,No,Chosen
NY,11710,117,15,15,15,240,255,1,0,0,0,1,0,0,0,No,Chosen
PA,19006,190,15,15,15,240,255,1,1,0,0,0,0,0,0,No,Chosen
NY,11793,117,15,15,15,240,255,1,0,0,0,1,0,0,0,No,Chosen
NJ,7746,77,15,15,15,238,253,1,1,0,0,0,0,0,0,No,Chosen
PA,19102,191,15,15,15,238,253,1,0,0,0,0,0,1,0,No,Chosen
NY,11565,115,15,15,15,237,252,1,0,0,0,0,0,0,1,No,Chosen
NJ,7065,70,15,15,15,237,252,1,0,0,0,0,1,0,0,No,Chosen
NH,3894,38,15,15,15,237,252,1,1,0,0,0,0,0,0,No,Chosen
PA,19115,191,15,15,15,237,252,1,0,0,1,0,0,0,0,No,Chosen
NY,14075,140,15,15,15,237,252,1,0,0,1,0,0,0,0,Yes,Chosen
NJ,8837,88,15,15,15,237,252,1,0,0,0,0,0,1,0,No,Chosen
MA,2169,21,15,15,15,237,252,1,1,0,0,0,0,0,0,No,Chosen
CT,6488,64,15,15,15,236,251,1,0,0,1,0,0,0,0,No,Chosen
NJ,7081,70,15,15,15,236,251,1,1,0,0,0,0,0,0,No,Chosen
MA,2360,23,15,15,15,236,251,1,0,0,1,0,0,0,0,No,Chosen
NY,13021,130,15,15,15,236,251,1,0,0,0,1,0,0,0,No,Chosen
CT,6820,68,15,15,15,236,251,1,0,0,1,0,0,0,0,No,Chosen
PA,18353,183,15,15,15,235,250,1,0,0,0,1,0,0,0,No,Chosen
MA,1906,19,15,15,15,235,250,1,0,0,0,0,0,1,0,Yes,Chosen
MA,1832,18,15,15,15,235,250,1,0,0,0,0,0,1,0,No,Chosen
MA,2132,21,15,15,15,235,250,1,1,0,0,0,0,0,0,No,Chosen
MD,20639,206,15,15,15,234,249,1,1,0,0,0,0,0,0,Yes,Chosen
PA,19605,196,15,15,15,234,249,1,0,1,0,0,0,0,0,No,Chosen
PA,19124,191,15,15,15,234,249,1,1,0,0,0,0,0,0,No,Chosen
NY,12737,127,15,15,15,234,249,1,1,0,0,0,0,0,0,No,Chosen
NY,11214,112,15,15,15,234,249,1,0,0,1,0,0,0,0,No,Chosen
PA,19115,191,15,15,15,233,248,1,0,0,1,0,0,0,0,No,Chosen
PA,19382,193,15,15,15,233,248,1,1,0,0,0,0,0,0,No,Chosen
PA,18042,180,15,15,15,233,248,1,0,0,1,0,0,0,0,No,Chosen
PA,19020,190,15,15,15,233,248,1,0,0,0,0,0,1,0,Yes,Chosen
NJ,7066,70,15,15,15,233,248,1,0,0,0,0,0,0,1,No,Chosen
NH,3743,37,15,15,15,232,247,1,0,0,0,0,0,0,1,No,Chosen
NY,10128,101,15,15,15,230,245,1,0,0,0,0,0,1,0,No,Chosen
NY,11021,110,15,15,15,230,245,1,0,1,0,0,0,0,0,No,Chosen
MA,2148,21,15,15,15,230,245,1,0,0,0,0,1,0,0,No,Chosen
NY,10469,104,15,15,15,230,245,1,0,0,0,0,1,0,0,No,Chosen
MA,2171,21,15,15,15,229,244,1,0,0,0,0,0,1,0,No,Chosen
CT,6516,65,15,15,15,229,244,1,0,0,0,0,0,1,0,No,Chosen
MA,2356,23,15,15,15,228,243,1,0,0,1,0,0,0,0,No,Chosen
NY,10016,100,15,15,15,228,243,1,0,0,0,0,0,1,0,Yes,Chosen
NJ,7644,76,15,15,15,228,243,1,0,0,0,0,1,0,0,Yes,Chosen
NY,11377,113,15,15,15,227,242,1,0,0,0,0,0,0,1,No,Chosen
NJ,7307,73,15,15,15,227,242,1,0,0,0,0,0,1,0,No,Chosen
NJ,8088,80,15,15,15,227,242,1,0,0,1,0,0,0,0,No,Chosen
NY,11003,110,15,15,15,227,242,1,0,0,0,0,0,1,0,No,Chosen
DE,19803,198,15,15,15,227,242,1,0,1,0,0,0,0,0,No,Chosen
MD,21228,212,15,15,15,227,242,1,0,0,0,0,1,0,0,No,Chosen
CT,6611,66,15,15,15,226,241,1,0,1,0,0,0,0,0,No,Chosen
NJ,7758,77,15,15,15,225,240,1,1,0,0,0,0,0,0,No,Chosen
PA,15090,150,15,15,15,225,240,1,0,0,1,0,0,0,0,No,Chosen
NY,11758,117,15,15,15,225,240,1,1,0,0,0,0,0,0,No,Chosen
NY,10522,105,15,15,15,225,240,1,0,1,0,0,0,0,0,No,Chosen
NY,11706,117,15,15,15,225,240,1,1,0,0,0,0,0,0,No,Chosen
NY,10009,100,15,15,15,224,239,1,0,0,1,0,0,0,0,No,Chosen
NJ,8807,88,15,15,15,224,239,1,1,0,0,0,0,0,0,No,Chosen
NY,14228,142,15,15,15,224,239,1,0,0,1,0,0,0,0,No,Chosen
NY,11777,117,15,15,15,223,238,1,0,0,1,0,0,0,0,No,Chosen
NY,11220,112,15,15,15,223,238,1,0,0,1,0,0,0,0,No,Chosen
PA,19118,191,15,15,15,223,238,1,0,0,0,0,0,0,1,No,Chosen
NJ,7030,70,15,15,15,223,238,1,0,0,1,0,0,0,0,No,Chosen
CT,6106,61,15,15,15,223,238,1,0,0,1,0,0,0,0,No,Chosen
MD,20772,207,15,15,15,223,238,1,1,0,0,0,0,0,0,No,Chosen
MD,21222,212,15,15,15,222,237,1,0,0,0,1,0,0,0,No,Chosen
NJ,8081,80,15,15,15,222,237,1,0,0,1,0,0,0,0,No,Chosen
NY,10470,104,15,15,15,222,237,1,1,0,0,0,0,0,0,No,Chosen
NJ,8260,82,15,15,15,222,237,1,0,0,0,0,0,0,1,No,Chosen
DE,19810,198,15,15,15,221,236,1,0,0,1,0,0,0,0,No,Chosen
